File,aid,Date,0,2,3,5,8,17,21,25,65,69,73,81,85,89,129,133,137,145,149,153,197,213
QC_Night_2003156_aid0001,aid0001,2003-06-05,2429788,4936564,67228,,1387.0,347734,,,1076815,,1579.0,252242,,,5219,,7.0,13079,,,,
QC_Night_2003157_aid0001,aid0001,2003-06-06,2650869,4864296,67228,,2297.0,434203,,,898045,,1200.0,194657,,1.0,4111,,,14735,,,,
QC_Night_2003158_aid0001,aid0001,2003-06-07,2454300,4961913,67228,,1042.0,465441,,,937389,,1479.0,229580,,1.0,1227,,,12042,,,,
QC_Night_2003159_aid0001,aid0001,2003-06-08,3281494,3763527,67228,,2314.0,468239,,7.0,1271010,,1459.0,262293,,,546,,,13525,,,,
QC_Night_2003160_aid0001,aid0001,2003-06-09,3600583,3324359,67228,,1194.0,259078,,,1619970,,1109.0,242276,,1.0,4634,,,11210,,,,
QC_Night_2003161_aid0001,aid0001,2003-06-10,2847052,4144181,67228,,1861.0,483633,,3.0,1342203,,1239.0,226941,,2.0,3998,,,13301,,,,
QC_Night_2003162_aid0001,aid0001,2003-06-11,2589776,4506450,67228,,1205.0,609839,,1.0,1153103,,847.0,193321,,,4725,,,5147,,,,
QC_Night_2003163_aid0001,aid0001,2003-06-12,2299703,5008392,67228,,1737.0,571214,,2.0,952805,,818.0,217917,,,6046,,1.0,5779,,,,
QC_Night_2003164_aid0001,aid0001,2003-06-13,1958432,5272146,67228,,949.0,572731,,,1036454,,534.0,204103,,,14556,,,4509,,,,
QC_Night_2003165_aid0001,aid0001,2003-06-14,2344722,4907735,67228,,742.0,609315,,2.0,981705,,536.0,197969,,1.0,16263,,43.0,5381,,,,
QC_Night_2003166_aid0001,aid0001,2003-06-15,3626708,3416879,67228,,1593.0,680972,,,1176723,,649.0,139606,,,11282,,,10002,,,,
QC_Night_2003167_aid0001,aid0001,2003-06-16,3352838,3789300,67228,,567.0,477700,,1.0,1191677,,620.0,227118,,,2662,,,21931,,,,
QC_Night_2003168_aid0001,aid0001,2003-06-17,3083914,4508073,67228,,639.0,442468,,,827798,,420.0,179561,,,13245,,3.0,8293,,,,
QC_Night_2003169_aid0001,aid0001,2003-06-18,2639095,4806019,67228,,224.0,406339,,,1066249,,176.0,137992,,,2448,,,5872,,,,
QC_Night_2003170_aid0001,aid0001,2003-06-19,2902419,4547678,67228,,844.0,232080,,1.0,1123630,,565.0,232464,,5.0,11152,,13.0,13563,,,,
QC_Night_2003171_aid0001,aid0001,2003-06-20,3038490,4145025,67228,,692.0,410613,,,1173091,,468.0,272223,,2.0,12117,,,11693,,,,
QC_Night_2003172_aid0001,aid0001,2003-06-21,3369857,3815228,67228,,717.0,563329,,7.0,1112374,,552.0,188722,,6.0,1959,,,11663,,,,
QC_Night_2003173_aid0001,aid0001,2003-06-22,3826127,3246978,67228,,979.0,709119,,,1123230,,239.0,139509,,1.0,8172,,,10060,,,,
QC_Night_2003174_aid0001,aid0001,2003-06-23,3963470,3252835,67228,,389.0,592979,,1.0,1042247,,466.0,193055,,2.0,5387,,,13583,,,,
QC_Night_2003175_aid0001,aid0001,2003-06-24,3469738,3737063,67228,,621.0,481910,,1.0,1100732,,304.0,217752,,,47272,,,9021,,,,
